Description,Basic Unit,Beginning Balance ,Quantity Received ,Quantity Dispensed ,Losses and Adjustments,Ending Balance (Physical Count)
Inj Paracetamol 125mg/5ml,100's,0,2,2,0,0
Inj Paracetamol 125mg/5ml,100's,0,400,140,0,260
Inj Paracetamol 125mg/5ml,100's,0,100,69,0,31
Inj Paracetamol 125mg/5ml,100's,0,2,2,0,0
Inj Paracetamol 125mg/5ml,100's,0,30,14,0,16
Inj Paracetamol 125mg/5ml,100's,90,0,3,0,87
Inj Paracetamol 125mg/5ml,100's,30,0,25,0,5
Inj Paracetamol 125mg/5ml,100's,20,0,10,0,10
Inj Paracetamol 125mg/5ml,100's,26,0,9,0,17
Inj Paracetamol 125mg/5ml,100's,40,0,30,0,10
Inj Paracetamol 125mg/5ml,100's,40,0,30,0,10
Inj Paracetamol 125mg/5ml,100's,60,0,40,0,20
Inj Paracetamol 125mg/5ml,100's,100,0,90,0,10
Inj Paracetamol 125mg/5ml,100's,40,0,30,0,10
Inj Paracetamol 125mg/5ml,100's,50,0,20,0,30
Inj Paracetamol 125mg/5ml,100's,50,0,20,0,30
Inj Paracetamol 125mg/5ml,100's,15,0,15,0,0
Inj Paracetamol 125mg/5ml,100's,3,0,3,0,0
Inj Paracetamol 125mg/5ml,100's,10,0,10,0,0
Inj Paracetamol 125mg/5ml,100's,1,0,1,0,0
Inj Paracetamol 125mg/5ml,100's,10,0,10,0,0
Inj Paracetamol 125mg/5ml,100's,10,0,10,0,0
Inj Paracetamol 125mg/5ml,100's,1,0,1,0,0
Inj Paracetamol 125mg/5ml,100's,260,0,260,0,0
Inj Piroxicam,100's,1500,0,0,0,0
Inj Piroxicam,100's,1500,0,0,0,0
Inj Piroxicam,100's,1500,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,0,0,0,0,0
inj Promethazine 50mg/2ml,100's,30,0,0,0,30
inj Promethazine 50mg/2ml,100's,30,0,0,0,30
inj Promethazine 50mg/2ml,100's,0,50,0,0,50
inj Promethazine 50mg/2ml,100's,0,50,0,0,50
inj Promethazine 50mg/2ml,100's,9,200,10,0,199
inj Promethazine 50mg/2ml,100's,8,10,5,0,13
inj Promethazine 50mg/2ml,100's,2,2,1,0,3
inj Promethazine 50mg/2ml,100's,10,10,4,0,6
inj Promethazine 50mg/2ml,100's,0,0.1,0.1,0,0
inj Promethazine 50mg/2ml,100's,0,0.1,0.1,0,0
inj Promethazine 50mg/2ml,100's,0,20,10,0,10
inj Promethazine 50mg/2ml,100's,0,0.1,0.1,0,0
inj Promethazine 50mg/2ml,100's,0.4,0,0.1,0,0.3
inj Promethazine 50mg/2ml,100's,100,0,20,0,80
inj Promethazine 50mg/2ml,100's,60,0,21,0,39
inj Promethazine 50mg/2ml,100's,80,0,20,0,60
inj Promethazine 50mg/2ml,100's,10,0,1,0,9
inj Promethazine 50mg/2ml,100's,16,0,10,0,0
Inj Quinine,100's,120,0,0,0,0
Inj Quinine,100's,120,0,0,0,0
Inj Quinine,100's,120,0,0,0,0
Inj. Diazepam,100's,90,20,1800,0,20
Inj. Diazepam,100's,90,100,9000,0,100
Inj. Diazepam,100's,90,130,11700,0,130
Inj. Diclofenac,100's,14,0,0,0,0
Inj. Diclofenac,100's,14,0,0,200,200
Inj. Diclofenac,100's,14,150,2100,0,150
Inj.Chloroquine 5ml,100's,3000,0,0,0,0
Inj.Chloroquine 5ml,100's,3000,0,0,0,0
Inj.Chloroquine 5ml,100's,3000,0,0,0,0
Inj.Dexamethasone,100's,20,0,0,0,0
Inj.Dexamethasone,100's,20,0,0,0,0
Inj.Dexamethasone,100's,23,10,230,0,10
Inj.Ergometrine,100's,50,0,0,0,0
Inj.Ergometrine,100's,50,0,0,0,0
Inj.Ergometrine,100's,50,0,0,0,0
Inj.Frusemide,100's,14,0,0,100,100
Inj.Frusemide,100's,14,100,1400,100,200
Inj.Frusemide,100's,14,70,980,0,70
Inj.Hyoscine butylbromide,100's,75,0,0,0,0
Inj.Hyoscine butylbromide,100's,75,0,0,200,200
Inj.Hyoscine butylbromide,100's,75,140,10500,0,140
Inj.Metoclopramide,100's,1800,0,0,1,1
Inj.Metoclopramide,100's,1800,1,1800,1,2
Inj.Metoclopramide,100's,1800,1,1800,0,1
Inj.Oxytocin,100's,162,0,0,0,0
Inj.Oxytocin,100's,162,40,6480,0,40
Inj.Oxytocin,100's,162,180,29160,0,180
Inj.Paracetamol 2ml,100's,2700,0,0,10,10
Inj.Paracetamol 2ml,100's,2700,6,16200,10,16
Inj.Paracetamol 2ml,100's,2700,2,5400,10,12
Inj.Promethazine,100's,20,80,1600,100,180
Inj.Promethazine,100's,20,100,2000,0,100
Inj.Promethazine,100's,20,100,2000,0,100
Needle for Injection 21G,100's,300,0,0,0,0
Needle for Injection 21G,100's,300,0,0,0,0
Needle for Injection 21G,100's,300,0,0,0,0
Needle for Injection 23G,100's,300,0,0,0,0
Needle for Injection 23G,100's,300,0,0,0,0
Needle for Injection 23G,100's,300,0,0,0,0
Scalp vein needle,100's,0,100,18,0,82
Syringe and Needle 10ml,100's,2150,0,0,0,0
Syringe and Needle 10ml,100's,2150,0,0,7,7
Syringe and Needle 10ml,100's,2150,5,10750,5,10
syringe and Needle 2ml,100's,1100,0,0,0,0
syringe and Needle 2ml,100's,1250,0,0,0,0
syringe and Needle 2ml,100's,1690,0,0,3,3
syringe and Needle 2ml,100's,1250,2,2500,5,7
syringe and Needle 2ml,100's,1690,3,5070,0,3
syringe and Needle 2ml,100's,1250,4,5000,0,4
syringe and Needle 5ml,100's,1450,0,0,0,0
syringe and Needle 5ml,100's,1350,0,0,0,0
syringe and Needle 5ml,100's,1690,0,0,20,20
syringe and Needle 5ml,100's,1350,0,0,20,20
syringe and Needle 5ml,100's,1690,5,8450,20,25
syringe and Needle 5ml,100's,1350,7,9450,0,7
Syringe and Needles 10mls,100's,0.6,1,0.8,0,0.8
Syringe and Needles 2mls,100's,0,0,0,0,0
Syringe and Needles 2mls,100's,0,0,0,0,0
Syringe and Needles 2mls,100's,0,0,0,0,0
Syringe and Needles 2mls,100's,0,0,0,0,0
Syringe and Needles 2mls,100's,0,0,0,0,0
Syringe and Needles 2mls,100's,0,0,0,0,0
Syringe and Needles 2mls,100's,0,0,0,0,0
Syringe and Needles 2mls,100's,0,0,0,0,0
Syringe and Needles 2mls,100's,0,0,0,0,0
Syringe and Needles 2mls,100's,0,0,0,0,0
Syringe and Needles 2mls,100's,0,0,0,0,0
Syringe and Needles 2mls,100's,0,0,0,0,0
Syringe and Needles 2mls,100's,0,0,0,0,0
Syringe and Needles 2mls,100's,0,0,0,0,0
Syringe and Needles 2mls,100's,0,0,0,0,0
Syringe and Needles 2mls,100's,0,0,0,0,0
Syringe and Needles 2mls,100's,0,0,0,0,0
Syringe and Needles 2mls,100's,0,0,0,0,0
Syringe and Needles 2mls,100's,0,0,0,0,0
Syringe and Needles 2mls,100's,0,0,0,0,0
Syringe and Needles 2mls,100's,0,0,0,0,0
Syringe and Needles 2mls,100's,0,0,0,0,0
Syringe and Needles 2mls,100's,0,0,0,0,0
Syringe and Needles 2mls,100's,0,0,0,0,0
Syringe and Needles 2mls,100's,0,0,0,0,0
Syringe and Needles 2mls,100's,0,0,0,0,0
Syringe and Needles 2mls,100's,0,0,0,0,0
Syringe and Needles 2mls,100's,3,0,0,0,0
Syringe and Needles 2mls,100's,2,0,0,0,2
Syringe and Needles 2mls,100's,0,5,0,0,5
Syringe and Needles 2mls,100's,5,5,2,0,8
Syringe and Needles 2mls,100's,3,3,2,0,0
Syringe and Needles 2mls,100's,5,5,9,0,1
Syringe and Needles 2mls,100's,100,100,60,0,40
Syringe and Needles 2mls,100's,0,100,36,0,64
Syringe and Needles 2mls,100's,0,5,5,0,0
Syringe and Needles 2mls,100's,0,10,3,0,7
Syringe and Needles 2mls,100's,0,100,30,0,70
Syringe and Needles 2mls,100's,0,5,1,0,4
Syringe and Needles 2mls,100's,0,500,100,0,400
Syringe and Needles 2mls,100's,0,100,50,0,50
Syringe and Needles 2mls,100's,0,500,100,0,400
Syringe and Needles 2mls,100's,0,5,1,0,4
Syringe and Needles 2mls,100's,0,500,500,0,0
Syringe and Needles 2mls,100's,0,100,34,0,66
Syringe and Needles 2mls,100's,0,5,2,0,3
Syringe and Needles 2mls,100's,0,5,2,0,8
Syringe and Needles 2mls,100's,2.8,0,1.9,0,0.9
Syringe and Needles 2mls,100's,30,0,10,0,20
Syringe and Needles 2mls,100's,400,0,100,0,300
Syringe and Needles 2mls,100's,200,0,30,0,170
Syringe and Needles 2mls,100's,2,0,1,0,1
Syringe and Needles 2mls,100's,100,0,25,0,75
Syringe and Needles 2mls,100's,4,0,1,0,3
Syringe and Needles 2mls,100's,70,0,20,0,50
Syringe and Needles 2mls,100's,300,0,100,0,200
Syringe and Needles 2mls,100's,300,0,100,0,200
Syringe and Needles 2mls,100's,75,0,65,0,10
Syringe and Needles 2mls,100's,400,0,100,0,300
Syringe and Needles 2mls,100's,50,0,30,0,20
Syringe and Needles 2mls,100's,100,0,30,0,70
Syringe and Needles 2mls,100's,5,0,2,0,3
Syringe and Needles 2mls,100's,400,0,100,0,300
Syringe and Needles 2mls,100's,3,0,1,0,2
Syringe and Needles 2mls,100's,65,0,15,0,50
Syringe and Needles 2mls,100's,50,0,20,0,30
Syringe and Needles 2mls,100's,500,0,200,0,10
Syringe and Needles 2mls,100's,40,0,40,0,0
Syringe and Needles 2mls,100's,10,0,10,0,0
Syringe and Needles 2mls,100's,5,0,5,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,0,0,0,0,0
Syringe and Needles 5mls,100's,300,0,0,0,300
Syringe and Needles 5mls,100's,1,0,0,0,1
Syringe and Needles 5mls,100's,200,200,100,0,300
Syringe and Needles 5mls,100's,5,5,2,0,8
Syringe and Needles 5mls,100's,5,5,2,0,3
Syringe and Needles 5mls,100's,0,100,50,0,50
Syringe and Needles 5mls,100's,0,100,100,0,0
Syringe and Needles 5mls,100's,0,500,400,0,100
Syringe and Needles 5mls,100's,0,15,4.3,0,10.7
Syringe and Needles 5mls,100's,0,10,2,0,8
Syringe and Needles 5mls,100's,0,5,1,0,4
Syringe and Needles 5mls,100's,0,500,500,0,0
Syringe and Needles 5mls,100's,0,100,67,0,33
Syringe and Needles 5mls,100's,0,5,3,0,2
Syringe and Needles 5mls,100's,42,0,4,0,38
Syringe and Needles 5mls,100's,51,0,9,0,42
Syringe and Needles 5mls,100's,400,0,100,0,300
Syringe and Needles 5mls,100's,500,0,200,0,10
Tab B.complex,100's,0,0,0,0,0
Tab B.complex,100's,0,0,0,0,0
Tab B.complex,100's,2000,5000,0,0,7000
Tab B.complex,100's,60,0,30,0,30
Tab Diclofenac 50mg,100's,0,0,0,0,0
Tab Dolo-Meta B,100's,0.7,0,0.7,0,0
Tab Glibenclamide 5mg,100's,3.7,5,8.3,0,0.4
Tab Metformin,100's,6.4,10,14.3,0,2.1
Tab Methyldopa,100's,6.8,0,6.8,0,0
Tab Metoclopramide,100's,1.7,3,2.7,0,2
Tab Moduretic,100's,6.5,5,4.3,0,7.2
Tab Neurovite forte,100's,0,0,0,0,0
Tab Prednisolone,100's,1.4,0,1.4,0,0
Tab Vasoprin,100's,2.5,0,2.5,0,0
Tab Vitamin C,100's,200,0,0,0,0
Tab Vitamin C,100's,200,0,0,0,0
Tab. Amitriptyline 25mg,100's,2500,0,0,0,0
Tab. Amitriptyline 25mg,100's,2500,0,0,1,1
Tab. Amitriptyline 25mg,100's,2500,1,2500,0,1
Tab. Amlodipine 10mg (Cadrex),100's,2300,0,0,0,0
Tab. Amlodipine 10mg (Cadrex),100's,2300,0,0,1,1
Tab. Cabamazepine 200mg,100's,3600,0,0,1,1
Tab. Cabamazepine 200mg,100's,3600,1,3600,0,1
Tab. Cabamazepine 200mg,100's,3600,1,3600,0,1
Tab. Captopril 25mg,100's,500,0,0,0,0
Tab. Captopril 25mg,100's,500,0,0,0,0
Tab. Captopril 25mg,100's,500,0,0,0,0
Tab. Cipro TN,100's,3125,0,0,0,0
Tab. Cipro TN,100's,3125,0,0,0,0
Tab. Cipro TN,100's,3125,0,0,0,0
Tab. Co-trimoxazole,100's,250,0,0,0,0
Tab. Co-trimoxazole,100's,250,0,0,0,0
Tab. Co-trimoxazole,100's,250,0,0,0,0
Tab. Dexamethasone 0.5mg,100's,150,0,0,0,0
Tab. Dexamethasone 0.5mg,100's,150,0,0,0,0
Tab. Dexamethasone 0.5mg,100's,150,0,0,0,0
Tab. Dexamethasone 1mg,100's,200,0,0,0,0
Tab. Dexamethasone 1mg,100's,200,0,0,0,0
Tab. Dexamethasone 1mg,100's,200,0,0,0,0
Tab. Diclofenac 100mg,100's,1100,0,0,0,0
Tab. Diclofenac 100mg,100's,650,0,0,0,0
Tab. Diclofenac 100mg,100's,1100,0,0,0,0
Tab. Diclofenac 100mg,100's,650,0,0,0,0
Tab. Diclofenac 100mg,100's,1100,0,0,0,0
Tab. Diclofenac 100mg,100's,650,0,0,0,0
Tab. Diclofenac 50mg,100's,375,0,0,0,0
Tab. Diclofenac 50mg,100's,375,0,0,20,20
Tab. Diclofenac 50mg,100's,375,10,3750,0,10
Tab. Dolo-meta B,100's,950,0,0,0,0
Tab. Dolo-meta B,100's,950,0,0,0,0
Tab. Dolo-meta B,100's,950,0,0,0,0
Tab. Dolo-meta B,100's,1375,0,0,2,2
Tab. Dolo-meta B,100's,1375,0,0,1,1
Tab. Dolo-meta B,100's,1375,2,2750,0,2
Tab. Erythromycin 250mg,100's,2800,0,0,5,5
Tab. Erythromycin 250mg,100's,2600,2,5200,0,2
Tab. Erythromycin 250mg,100's,2600,2,5200,0,2
Tab. Erythromycin 500mg,100's,3400,0,0,0,0
Tab. Erythromycin 500mg,100's,3400,0,0,0,0
Tab. Erythromycin 500mg,100's,3400,0,0,1,1
Tab. Flagyl M&B 200mg,100's,450,0,0,0,0
Tab. Flagyl M&B 200mg,100's,450,0,0,0,0
Tab. Flagyl M&B 200mg,100's,450,0,0,0,0
Tab. Glibenclamide 5mg,100's,700,0,0,10,10
Tab. Glibenclamide 5mg,100's,700,3,2100,10,13
Tab. Glibenclamide 5mg,100's,700,2,1400,0,2
Tab. Hyoscine butylbromide,100's,250,0,0,0,0
Tab. Hyoscine butylbromide,100's,1940,0,0,0,0
Tab. Hyoscine butylbromide,100's,1940,0,0,0,0
Tab. Hyoscine butylbromide,100's,2500,0,0,0,0
Tab. Hyoscine butylbromide,100's,1940,0,0,0,0
Tab. Hyoscine butylbromide,100's,250,0,0,5,5
Tab. Ibupofen 400mg,100's,850,0,0,0,0
Tab. Ibupofen 400mg,100's,850,0,0,0,0
Tab. Ibupofen 400mg,100's,850,0,0,0,0
Tab. Jnr Aspirin 75mg,100's,275,2,550,0,2
Tab. Jnr Aspirin 75mg,100's,275,5,1375,0,5
Tab. Jnr Aspirin 75mg,100's,275,5,1375,0,5
Tab. Loratidine,100's,2000,0,0,0,0
Tab. Loratidine,100's,2000,0,o,0,0
Tab. Loratidine,100's,2000,1,2000,0,1
Tab. Metaclopramide,100's,550,2,1100,0,2
Tab. Metaclopramide,100's,550,2,1100,0,2
Tab. Metaclopramide,100's,550,4,2200,0,4
Tab. Metformin 500mg,100's,770,3,2310,10,13
Tab. Metformin 500mg,100's,770,5,3850,10,15
Tab. Metformin 500mg,100's,770,5,3850,10,15
Tab. Methyldopa,100's,1500,4,6000,0,4
Tab. Methyldopa,100's,1500,10,15000,0,10
Tab. Methyldopa,100's,1500,14,21000,0,14
Tab. Methyldopa (Hovid),100's,1800,0,0,0,0
Tab. Methyldopa (Hovid),100's,1800,0,0,0,0
Tab. Methyldopa (Hovid),100's,1800,0,0,0,0
Tab. Metronidazole 200mg,100's,200,0,0,0,0
Tab. Metronidazole 200mg,100's,200,0,0,0,0
Tab. Metronidazole 200mg,100's,200,0,0,0,0
Tab. Moduretic,100's,600,12,7200,10,22
Tab. Moduretic,100's,600,10,6000,0,10
Tab. Moduretic,100's,600,19,11400,0,19
Tab. Neurotex forte,100's,6500,0,0,0,0
Tab. Neurotex forte,100's,6500,0,0,0,0
Tab. Neurotex forte,100's,6500,0,0,0,0
Tab. Neurovite forte,100's,5100,0,0,0,0
Tab. Neurovite forte,100's,5100,0,0,2,2
Tab. Neurovite forte,100's,5100,1,5100,0,1
Tab. Nifecard 20mg,100's,700,0,0,0,0
Tab. Nifecard 20mg,100's,700,0,0,0,0
Tab. Nifecard 20mg,100's,700,2,1400,0,2
Tab. Nifedipine 20mg,100's,1000,0,0,10,10
Tab. Nifedipine 20mg,100's,1000,4,4000,0,4
Tab. Nifedipine 20mg,100's,1000,10,10000,0,10
Tab. Nifedipine 20mg (Evans),100's,1200,0,0,0,0
Tab. Nifedipine 20mg (Evans),100's,1200,0,0,0,0
Tab. Nifedipine 20mg (Evans),100's,1200,0,0,0,0
Tab. Nifedipine retard 20mg,100's,1000,0,0,0,0
Tab. Nifedipine retard 20mg,100's,1000,0,0,0,0
Tab. Nifedipine retard 20mg,100's,1000,0,0,0,0
Tab. Prednisolone 5mg,100's,280,0,0,5,5
Tab. Prednisolone 5mg,100's,280,5,1400,0,5
Tab. Prednisolone 5mg,100's,280,3,840,0,3
Tab. Proguanil,100's,2315,0,0,0,0
Tab. Proguanil,100's,2315,0,0,0,0
Tab. Proguanil,100's,2315,0,0,0,0
Tab. Proguanil,100's,800,0,0,7,7
Tab. Proguanil,100's,800,0,0,2,2
Tab. Proguanil,100's,800,2,1600,0,2
Tab. Ranitidine 150mg,100's,2500,0,0,2,2
Tab. Ranitidine 150mg,100's,2500,2,5000,0,2
Tab. Ranitidine 150mg,100's,2500,1,2500,0,1
Tab. Ranitidine 300mg,100's,3000,2,6000,0,2
Tab. Ranitidine 300mg,100's,3000,2,6000,0,2
Tab. Ranitidine 300mg,100's,3000,3,9000,0,3
Tabs Hyoscine N-Butylbromide 10mg,100's,0,0,0,0,0
Tabs Hyoscine N-Butylbromide 10mg,100's,0,0,0,0,0
Tabs Hyoscine N-Butylbromide 10mg,100's,0,0,0,0,0
Tabs Hyoscine N-Butylbromide 10mg,100's,0,0,0,0,0
Tabs Hyoscine N-Butylbromide 10mg,100's,0,0,0,0,0
Tabs Hyoscine N-Butylbromide 10mg,100's,0,0,0,0,0
Tabs Hyoscine N-Butylbromide 10mg,100's,0,0,0,0,0
Tabs Hyoscine N-Butylbromide 10mg,100's,0,0,0,0,0
Tabs Hyoscine N-Butylbromide 10mg,100's,0,0,0,0,0
Tabs Hyoscine N-Butylbromide 10mg,100's,0,0,0,0,0
Tabs Hyoscine N-Butylbromide 10mg,100's,0,0,0,0,0
Tabs Hyoscine N-Butylbromide 10mg,100's,0,0,0,0,0
Tabs Hyoscine N-Butylbromide 10mg,100's,0,0,0,0,0
Tabs Hyoscine N-Butylbromide 10mg,100's,0,0,0,0,0
Tabs Hyoscine N-Butylbromide 10mg,100's,0,0,0,0,0
Tabs Hyoscine N-Butylbromide 10mg,100's,0,0,0,0,0
Tabs Hyoscine N-Butylbromide 10mg,100's,0,0,0,0,0
Tabs Hyoscine N-Butylbromide 10mg,100's,0,0,0,0,0
Tabs Hyoscine N-Butylbromide 10mg,100's,0,0,0,0,0
Tabs Hyoscine N-Butylbromide 10mg,100's,0,0,0,0,0
Tabs Hyoscine N-Butylbromide 10mg,100's,0,0,0,0,0
Tabs Hyoscine N-Butylbromide 10mg,100's,0,0,0,0,0
Tabs Hyoscine N-Butylbromide 10mg,100's,0,0,0,0,0
Tabs Hyoscine N-Butylbromide 10mg,100's,0,0,0,0,0
Tabs Hyoscine N-Butylbromide 10mg,100's,0,0,0,0,0
Tabs Hyoscine N-Butylbromide 10mg,100's,30,0,0,0,30
Tabs Hyoscine N-Butylbromide 10mg,100's,100,0,0,0,100
Tabs Hyoscine N-Butylbromide 10mg,100's,3,0,0,0,3
Tabs Hyoscine N-Butylbromide 10mg,100's,20,0,0,0,20
Tabs Hyoscine N-Butylbromide 10mg,100's,90,0,0,0,90
Tabs Hyoscine N-Butylbromide 10mg,100's,2,0,0,0,2
Tabs Hyoscine N-Butylbromide 10mg,100's,100,0,0,0,100
Tabs Hyoscine N-Butylbromide 10mg,100's,3,0,0,0,3
Tabs Hyoscine N-Butylbromide 10mg,100's,3,0,0,0,3
Tabs Hyoscine N-Butylbromide 10mg,100's,100,0,0,0,100
Tabs Hyoscine N-Butylbromide 10mg,100's,100,0,0,0,100
Tabs Hyoscine N-Butylbromide 10mg,100's,100,0,0,0,100
Tabs Hyoscine N-Butylbromide 10mg,100's,1,0,0,0,1
Tabs Hyoscine N-Butylbromide 10mg,100's,1,0,0,0,1
Tabs Hyoscine N-Butylbromide 10mg,100's,1,0,0,0,1
Tabs Hyoscine N-Butylbromide 10mg,100's,1,0,0,0,1
Tabs Hyoscine N-Butylbromide 10mg,100's,1,0,0,0,1
Tabs Hyoscine N-Butylbromide 10mg,100's,10,10,0,0,10
Tabs Hyoscine N-Butylbromide 10mg,100's,0,1,0,0,1
Tabs Hyoscine N-Butylbromide 10mg,100's,0,100,0,0,100
Tabs Hyoscine N-Butylbromide 10mg,100's,10,10,10,0,0
Tabs Hyoscine N-Butylbromide 10mg,100's,1,1,1,0,1
Tabs Hyoscine N-Butylbromide 10mg,100's,0,10,3,0,7
Tabs Hyoscine N-Butylbromide 10mg,100's,0,1,1,0,0
Tabs Hyoscine N-Butylbromide 10mg,100's,0,5,1,0,4
Tabs Hyoscine N-Butylbromide 10mg,100's,0,10,3,0,7
Tabs Hyoscine N-Butylbromide 10mg,100's,0,10,2,0,8
Tabs Hyoscine N-Butylbromide 10mg,100's,0,10,2,0,8
Tabs Hyoscine N-Butylbromide 10mg,100's,0,1,1,0,0
Tabs Hyoscine N-Butylbromide 10mg,100's,0,1,1,0,0
Tabs Hyoscine N-Butylbromide 10mg,100's,70,0,30,0,40
Tabs Hyoscine N-Butylbromide 10mg,100's,0.6,0,0.2,0,0.4
Tabs Hyoscine N-Butylbromide 10mg,100's,80,0,60,0,20
Tabs Hyoscine N-Butylbromide 10mg,100's,1,0,1,0,1
Tabs Hyoscine N-Butylbromide 10mg,100's,6,0,2,0,4
Tabs Hyoscine N-Butylbromide 10mg,100's,5,0,1,0,4
Tabs Hyoscine N-Butylbromide 10mg,100's,7,0,2,0,5
